,symbol,name,price_usd
0,BTC,Bitcoin,68234.2415943196294458
1,ETH,Ethereum,3275.1169555231946348
2,USDT,Tether,1.0004712979293562
3,BNB,BNB,584.5062752785213042
4,SOL,Solana,184.8140476545345195
5,USDC,USDC,1.0003713436677465
6,XRP,XRP,0.6022927505365594
7,DOGE,Dogecoin,0.1298993723815144
8,ADA,Cardano,0.4072825165140569
9,TRX,TRON,0.1388038099199375
10,AVAX,Avalanche,27.3671659292549682
11,WBTC,Wrapped Bitcoin,68245.8238051629118090
12,SHIB,Shiba Inu,0.0000168042611708
13,BCH,Bitcoin Cash,416.7866954226200210
14,LINK,Chainlink,13.2939542583266881
15,DOT,Polkadot,5.7123738836315642
16,NEAR,NEAR Protocol,5.4478718448520351
17,LEO,UNUS SED LEO,5.9023840948635046
18,DAI,Multi Collateral DAI,1.0014990127697379
19,LTC,Litecoin,71.3071365862825867
20,MATIC,Polygon,0.5084720895725555
21,UNI,Uniswap,7.5399379118097402
22,ICP,Internet Computer,9.3723326574143082
23,ETC,Ethereum Classic,22.6419945155292106
24,FET,Artificial Superintelligence Alliance,1.2457162721571395
25,XMR,Monero,164.3516438260430424
26,XLM,Stellar,0.1002093333793656
27,STX,Stacks,1.8841777323235809
28,FIL,Filecoin,4.4308892183184205
29,MKR,Maker,2640.0321426268965660
30,OKB,OKB,40.6807978542328768
31,CRO,Crypto.com Coin,0.0900578322330793
32,VET,VeChain,0.0273763018671966
33,AR,Arweave,30.7113454941292674
34,GRT,The Graph,0.1926947894126852
35,INJ,Injective,24.2225519042159630
36,ATOM,Cosmos,6.2202883111135107
37,RUNE,THORChain,4.5429841200180216
38,AAVE,Aave,98.8076724213030069
39,THETA,THETA,1.4531357472149135
40,LDO,Lido DAO,1.5722215770628516
41,FTM,Fantom,0.4441948697917963
42,ALGO,Algorand,0.1391918421185805
43,HBAR,Hedera Hashgraph,0.0675320913454751
44,FLOW,Flow,0.6533697776942949
45,KCS,KuCoin Token,9.6835748012423437
46,BSV,Bitcoin SV,46.2861497632227714
47,AXS,Axie Infinity,5.9202489395311399
48,QNT,Quant,71.7082304100379990
49,EOS,EOS,0.5663217304412293
50,HNT,Helium,5.2851199708945609
51,GALA,Gala,0.0247324569024157
52,NEO,Neo,11.5691398204052417
53,EGLD,MultiversX,33.0671406453025634
54,AKT,Akash Network,3.2130766497107019
55,XTZ,Tezos,0.7736793494834878
56,XEC,eCash,0.0000386370351651
57,SAND,The Sandbox,0.3279901554731818
58,CFX,Conflux,0.1721813221203020
59,GT,GateToken,7.6897551347206829
60,NEXO,Nexo,1.1911503439971946
61,MANA,Decentraland,0.3352081767010192
62,RAY,Raydium,2.4099325805947818
63,CHZ,Chiliz,0.0683454202221426
64,AIOZ,AIOZ Network,0.5510079601223117
65,PENDLE,Pendle,3.8026954398670179
66,MINA,Mina,0.5072451332007725
67,OM,MANTRA DAO,1.1515320693377189
68,ROSE,Oasis,0.0851589437702305
69,GNO,Gnosis,219.3588631286657197
70,IOTA,IOTA,0.1624049709364598
71,CKB,Nervos Network,0.0121208610593607
72,DEXE,DeXe,9.3925378068737533
73,KLAY,Klaytn,0.1427559343062267
74,ZEC,Zcash,32.2297096164132498
75,LPT,Livepeer,14.8219010560833587
76,TUSD,TrueUSD,0.9999998708504374
77,FTT,FTX Token,1.4649272149699117
78,NXM,NXM,72.4474192066811288
79,TFUEL,Theta Fuel,0.0689891151312872
80,1INCH,1inch Network,0.3641716421878089
81,CAKE,PancakeSwap,1.9486260176238238
82,KAVA,Kava,0.4153144356172441
83,TWT,Trust Wallet Token,1.0024772550786928
84,WEMIX,WEMIX,1.0096456077686422
85,IOTX,IoTeX,0.0434683535351466
86,SNX,Synthetix,1.7424827652559424
87,COMP,Compound,47.6215919841551076
88,XDC,XinFin Network,0.0298084623820236
89,WOO,WOO,0.1910085783731392
90,SUPER,SuperVerse,0.7168773221318829
91,KSM,Kusama,21.1322613748603298
92,ZIL,Zilliqa,0.0171361584563154
93,DASH,Dash,26.9266248253549554
94,ZRX,0x Protocol,0.3748041236132912
95,SC,Siacoin,0.0054367013247458
96,CRV,Curve DAO Token,0.2640572950651649
97,CELO,Celo,0.5679200906317335
98,ENJ,Enjin Coin,0.1846130122455461
99,ANKR,Ankr,0.0305098241845228
